focal,estimator,experience,industry,region,health,yearFE,sample,identified,b,se
union,between,0,0,1,1,1,full,1,0.250530,0.049635
union,between,0,0,1,1,1,nohealth,1,0.254299,0.049869
union,between,0,0,1,1,1,trim,1,0.259122,0.045202
union,between,1,0,1,1,0,full,1,0.253987,0.050214
union,between,1,0,1,1,0,nohealth,1,0.251616,0.049784
union,between,1,0,1,1,0,trim,1,0.265083,0.045850
union,between,1,0,1,1,1,full,1,0.253987,0.050214
union,between,1,0,1,1,1,nohealth,1,0.258806,0.050430
union,between,1,0,1,1,1,trim,1,0.256856,0.045775
union,between,0,1,1,1,0,full,1,0.146646,0.048360
union,between,0,1,1,1,0,nohealth,1,0.148794,0.047994
union,between,0,1,1,1,0,trim,1,0.153813,0.043497
union,between,0,1,1,1,1,full,1,0.146646,0.048360
union,between,0,1,1,1,1,nohealth,1,0.150803,0.048860
union,between,0,1,1,1,1,trim,1,0.145091,0.043213
union,between,1,1,1,1,0,full,1,0.155866,0.048760
union,between,1,1,1,1,0,nohealth,1,0.157626,0.048282
union,between,1,1,1,1,0,trim,1,0.164480,0.043690
union,between,1,1,1,1,1,full,1,0.155866,0.048760
union,between,1,1,1,1,1,nohealth,1,0.160703,0.049203
union,between,1,1,1,1,1,trim,1,0.150063,0.043625
union,random,0,0,0,0,0,full,1,0.102118,0.023983
union,random,0,0,0,0,0,nohealth,1,0.102086,0.024080
union,random,0,0,0,0,0,trim,1,0.086517,0.021093
union,random,0,0,0,0,1,full,1,0.107383,0.021394
union,random,0,0,0,0,1,nohealth,1,0.107237,0.021500
union,random,0,0,0,0,1,trim,1,0.091351,0.018543
union,random,1,0,0,0,0,full,1,0.101663,0.021270
union,random,1,0,0,0,0,nohealth,1,0.101600,0.021357
union,random,1,0,0,0,0,trim,1,0.085672,0.018374
union,random,1,0,0,0,1,full,1,0.103113,0.021118
union,random,1,0,0,0,1,nohealth,1,0.102907,0.021243
union,random,1,0,0,0,1,trim,1,0.087065,0.018310
union,random,0,1,0,0,0,full,1,0.087766,0.022593
union,random,0,1,0,0,0,nohealth,1,0.088008,0.022773
union,random,0,1,0,0,0,trim,1,0.069505,0.019530
union,random,0,1,0,0,1,full,1,0.100977,0.020813
union,random,0,1,0,0,1,nohealth,1,0.101312,0.020950
union,random,0,1,0,0,1,trim,1,0.081890,0.017721
union,random,1,1,0,0,0,full,1,0.094831,0.020716
union,random,1,1,0,0,0,nohealth,1,0.095226,0.020839
union,random,1,1,0,0,0,trim,1,0.076131,0.017605
union,random,1,1,0,0,1,full,1,0.097235,0.020586
union,random,1,1,0,0,1,nohealth,1,0.097542,0.020742
union,random,1,1,0,0,1,trim,1,0.078411,0.017535
union,random,0,0,1,0,0,full,1,0.103741,0.024115
union,random,0,0,1,0,0,nohealth,1,0.103728,0.024208
union,random,0,0,1,0,0,trim,1,0.087477,0.021150
union,random,0,0,1,0,1,full,1,0.107540,0.021449
union,random,0,0,1,0,1,nohealth,1,0.107362,0.021552
union,random,0,0,1,0,1,trim,1,0.091018,0.018541
union,random,1,0,1,0,0,full,1,0.101514,0.021318
union,random,1,0,1,0,0,nohealth,1,0.101428,0.021402
union,random,1,0,1,0,0,trim,1,0.085109,0.018357
union,random,1,0,1,0,1,full,1,0.103390,0.021184
union,random,1,0,1,0,1,nohealth,1,0.103150,0.021305
union,random,1,0,1,0,1,trim,1,0.086799,0.018313
union,random,0,1,1,0,0,full,1,0.089027,0.022680
union,random,0,1,1,0,0,nohealth,1,0.089293,0.022857
union,random,0,1,1,0,0,trim,1,0.070243,0.019557
union,random,0,1,1,0,1,full,1,0.100896,0.020814
union,random,0,1,1,0,1,nohealth,1,0.101224,0.020948
union,random,0,1,1,0,1,trim,1,0.081436,0.017679
union,random,1,1,1,0,0,full,1,0.094418,0.020704
union,random,1,1,1,0,0,nohealth,1,0.094795,0.020826
union,random,1,1,1,0,0,trim,1,0.075417,0.017547
union,random,1,1,1,0,1,full,1,0.097289,0.020597
union,random,1,1,1,0,1,nohealth,1,0.097594,0.020751
union,random,1,1,1,0,1,trim,1,0.078057,0.017499
union,random,0,0,0,1,0,full,1,0.101473,0.024026
union,random,0,0,0,1,0,nohealth,1,0.102086,0.024080
union,random,0,0,0,1,0,trim,1,0.085936,0.021150
union,random,0,0,0,1,1,full,1,0.107077,0.021399
union,random,0,0,0,1,1,nohealth,1,0.107237,0.021500
union,random,0,0,0,1,1,trim,1,0.091052,0.018560
union,random,1,0,0,1,0,full,1,0.101351,0.021278
